Generación;Mejor Fitness
1;0.0415753908
2;0.0415759124
3;0.0415759124
4;0.0415759124
5;0.0419136845
6;0.0419136845
7;0.0419150144
8;0.0419136845
9;0.0419136845
10;0.0419136845
11;0.0419136845
12;0.0419136845
13;0.0419213027
14;0.0419213027
15;0.0419213027
16;0.0419322811
17;0.0419401266
18;0.0419401266
19;0.0419401266
20;0.0419401266
21;0.0419401266
22;0.0419415534
23;0.0419415534
24;0.0419471599
25;0.0419471599
26;0.0419471599
27;0.0419471599
28;0.0419473723
29;0.0419473723
30;0.0419617333
31;0.0419617333
32;0.0419658907
33;0.0419658907
34;0.0419658907
35;0.0419806316
36;0.0419876799
37;0.0419876799
38;0.0419883877
39;0.0419883877
40;0.0419883877
41;0.0419883877
42;0.0419883877
43;0.0419883877
44;0.0419883877
45;0.0419883877
46;0.0419883877
47;0.0419883877
48;0.0419883877
49;0.0419913381
50;0.0419913381
51;0.0419913381
52;0.0419913381
53;0.0419913381
54;0.0419913381
55;0.0420096815
56;0.0420096815
57;0.0420096815
58;0.0420096815
59;0.0420239642
60;0.0420239642
61;0.0420241021
62;0.0420241021
63;0.0420243628
64;0.0420243628
65;0.0420243628
66;0.0420243628
67;0.0420243628
68;0.0420243628
69;0.0420243628
70;0.0420243628
71;0.0420243628
72;0.0420243628
73;0.0420243628
74;0.0420243628
75;0.0420243628
76;0.0420243628
77;0.0420243628
78;0.0420243628
79;0.0420243628
80;0.0420249030
81;0.0420249030
82;0.0420249030
83;0.0420249030
84;0.0420249030
85;0.0420249030
86;0.0420249030
87;0.0420249030
88;0.0420249030
89;0.0420249030
90;0.0420249030
91;0.0420249030
92;0.0420249030
93;0.0420249030
94;0.0420249030
95;0.0420249030
96;0.0420254692
97;0.0420254692
98;0.0420254692
99;0.0420254692
100;0.0420254692
101;0.0420254692
102;0.0420254692
103;0.0420254692
104;0.0420254692
105;0.0420254692
106;0.0420254692
107;0.0420254692
108;0.0420254692
109;0.0420254692
110;0.0420254692
111;0.0420254692
112;0.0420254692
113;0.0420254692
114;0.0420254692
115;0.0420254692
116;0.0420254692
117;0.0420254692
118;0.0420254692
119;0.0420254692
120;0.0420254692
121;0.0420254692
122;0.0420254692
123;0.0420254692
124;0.0420254692
125;0.0420254692
126;0.0420254692
127;0.0420254692
128;0.0420254692
129;0.0420254692
130;0.0420254692
131;0.0420254692
132;0.0420254692
133;0.0420254692
134;0.0420254692
135;0.0420254692
136;0.0420271233
137;0.0420271233
138;0.0420271233
139;0.0420271233
140;0.0420271233
141;0.0420271233
142;0.0420271233
143;0.0420271233
144;0.0420271233
145;0.0420331322
146;0.0420331322
147;0.0420331322
148;0.0420331322
149;0.0420331322
150;0.0420331322
151;0.0420331322
152;0.0420331322
153;0.0420331322
154;0.0420331322
155;0.0420331322
156;0.0420331322
157;0.0420331322
158;0.0420331322
159;0.0420331322
160;0.0420331322
161;0.0420331322
162;0.0420331322
163;0.0420331322
164;0.0420331322
165;0.0420331322
166;0.0420331322
167;0.0420331322
168;0.0420331322
169;0.0420331322
170;0.0420331322
171;0.0420331322
172;0.0420331322
173;0.0420331322
174;0.0420331322
175;0.0420331322
176;0.0420331322
177;0.0420331322
178;0.0420331322
179;0.0420331322
180;0.0420331322
181;0.0420331322
182;0.0420331322
183;0.0420331322
184;0.0420331322
185;0.0420331322
186;0.0420331322
187;0.0420331322
188;0.0420331322
189;0.0420331322
190;0.0420331322
191;0.0420331322
192;0.0420331322
193;0.0420331322
194;0.0420331322
195;0.0420331322
196;0.0420331322
197;0.0420331322
198;0.0420331322
199;0.0420331322
200;0.0420331322
